品种,批发市场,最低价格,最高价格,平均价格,发布时间
大葱,山西省新绛县蔬菜批发市场,￥1.00,￥1.20,￥1.10,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,新疆焉耆光明农副产品批发市场,￥1.50,￥2.00,￥1.75,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,河南商丘市农产品中心批发市场,￥0.35,￥0.70,￥0.50,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,福建福鼎闽浙边界农贸中心市场,￥1.70,￥2.40,￥2.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,晋城市绿盛农工商实业有限公司农...,￥0.90,￥0.90,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,重庆双福国际农贸城,￥1.30,￥1.70,￥1.50,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,河南金牛大别山农产品现代物流中心,￥0.50,￥3.00,￥0.85,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,北京新发地批发市场,￥0.80,￥1.00,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,内蒙赤峰西城市场,￥1.20,￥1.40,￥1.30,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,红星实业集团有限公司红星农副产...,￥2.05,￥2.56,￥2.30,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,新疆通汇蔬菜瓜果批发市场,￥0.90,￥3.00,￥1.40,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,浙中农副产品物流中心,￥0.50,￥2.50,￥1.15,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,甘肃酒泉春光农产品市场有限责任...,￥1.20,￥1.40,￥1.30,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,北京昌平水屯批发市场,￥1.50,￥2.50,￥2.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,哈尔滨哈达农副产品股份有限公司,￥1.20,￥1.30,￥1.25,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,天津市南开区红旗农贸综合批发市场,￥0.80,￥1.10,￥1.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,河北馆陶金凤禽蛋批发市场,￥1.20,￥1.20,￥1.20,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,上海市江桥批发市场经营管理有限...,￥1.10,￥1.30,￥1.20,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,天津武清大沙河批发市场,￥0.60,￥1.80,￥1.20,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,北园春农贸批发市场,￥1.50,￥2.50,￥2.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,江苏凌家塘农副产品批发市场,￥0.80,￥1.30,￥1.20,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,北京大洋路农副产品批发市场,￥1.10,￥1.30,￥1.20,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,兰州国际高原夏菜副食品采购中心,￥1.08,￥1.20,￥1.11,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,潜江市四季友农产品市场,￥3.00,￥3.50,￥3.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p1.html
大葱,河北乐亭冀东果菜批发市场,￥1.50,￥1.80,￥1.60,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,四川南充川北农产品批发市场,￥1.70,￥1.90,￥1.80,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,安徽亳州市农产品有限责任公司,￥0.00,￥0.00,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,山东滨州市滨城区(六街)鲁北无...,￥0.00,￥0.00,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,山西晋城绿欣农产品批发市场,￥1.20,￥1.30,￥1.25,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,石家庄国际农产品批发交易中心,￥0.80,￥1.10,￥0.95,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,天津市金钟蔬菜批发市场,￥1.00,￥1.30,￥1.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,海南凤翔蔬菜批发市场,￥0.00,￥0.00,￥1.80,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥1.40,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,甘肃庆阳市西郊蔬菜瓜果批发市场,￥1.10,￥1.20,￥1.15,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,吴忠市鑫鲜农副产品市场有限公司,￥0.70,￥4.50,￥1.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,鄂尔多斯市万家惠农贸市场,￥1.90,￥2.10,￥2.00,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,上海农产品中心批发市场,￥0.90,￥1.20,￥1.05,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,山西长治市紫坊农产品综合交易市场,￥1.00,￥1.30,￥1.15,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,内蒙古呼和浩特市东瓦窑农副产品...,￥0.90,￥1.20,￥1.10,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,宁夏海吉星国际农产品物流有限公司,￥0.00,￥0.00,￥1.40,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,襄阳市洪沟农副产品有限公司,￥0.00,￥0.00,￥0.80,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,西安市朱雀农产品交易中心,￥1.20,￥1.40,￥1.30,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,厦门市同安闽南果蔬批发市场,￥1.30,￥1.90,￥1.50,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
大葱,洛阳宏进农副产品批发市场,￥1.10,￥1.10,￥1.10,2024-03-31,http://price.cnveg.com/select/st%E5%A4%A7%E8%91%B1y2024m3d-1cta-1by-1p2.html
