品种,批发市场,最低价格,最高价格,平均价格,发布时间
白萝卜,山西省新绛县蔬菜批发市场,￥0.50,￥0.80,￥0.65,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,新疆焉耆光明农副产品批发市场,￥1.00,￥1.50,￥1.25,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,福建福鼎闽浙边界农贸中心市场,￥0.40,￥1.10,￥0.80,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥0.70,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥0.80,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,晋城市绿盛农工商实业有限公司农...,￥0.70,￥0.70,￥0.70,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,重庆双福国际农贸城,￥0.40,￥0.60,￥0.50,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,山东滕州蔬菜批发市场,￥0.10,￥0.90,￥0.25,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,北京新发地批发市场,￥0.60,￥0.85,￥0.72,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,内蒙赤峰西城市场,￥0.90,￥1.10,￥1.00,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,红星实业集团有限公司红星农副产...,￥0.40,￥0.90,￥0.65,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,新疆绿珠九鼎农产品经营管理有限...,￥0.00,￥0.00,￥1.50,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,新疆通汇蔬菜瓜果批发市场,￥0.50,￥1.50,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,浙中农副产品物流中心,￥0.25,￥1.00,￥0.60,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,南宁农产品交易中心,￥1.00,￥2.50,￥1.25,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,甘肃酒泉春光农产品市场有限责任...,￥1.10,￥1.30,￥1.20,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,北京昌平水屯批发市场,￥0.80,￥1.00,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
白萝卜,甘肃邦农农产品批发市场,￥0.80,￥1.00,￥0.90,2024-03-31,http://price.cnveg.com/select/st%E7%99%BD%E8%90%9D%E5%8D%9Cy2024m3d-1cta-1by-1p1.html
