品种,批发市场,最低价格,最高价格,平均价格,发布时间
青椒,山西省新绛县蔬菜批发市场,￥3.00,￥3.00,￥3.00,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,新疆焉耆光明农副产品批发市场,￥4.25,￥5.00,￥4.75,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,河南商丘市农产品中心批发市场,￥2.50,￥2.90,￥2.70,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,福建福鼎闽浙边界农贸中心市场,￥2.20,￥2.60,￥2.40,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥3.50,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥2.50,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,晋城市绿盛农工商实业有限公司农...,￥3.00,￥3.00,￥3.00,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,重庆双福国际农贸城,￥2.00,￥2.50,￥2.25,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,河南金牛大别山农产品现代物流中心,￥1.00,￥5.00,￥3.15,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,北京新发地批发市场,￥3.00,￥3.80,￥3.40,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,内蒙赤峰西城市场,￥2.40,￥2.60,￥2.60,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
青椒,红星实业集团有限公司红星农副产...,￥1.40,￥2.00,￥1.70,2024-03-31,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m3d-1cta-1by-1p1.html
