品种,批发市场,最低价格,最高价格,平均价格,发布时间
黄瓜,山西省新绛县蔬菜批发市场,￥2.00,￥2.60,￥2.30,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,新疆焉耆光明农副产品批发市场,￥3.00,￥3.50,￥3.25,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,河南商丘市农产品中心批发市场,￥1.90,￥2.30,￥2.10,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,福建福鼎闽浙边界农贸中心市场,￥2.70,￥3.10,￥2.90,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥2.00,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,江西永丰县农产品批发中心市场,￥0.00,￥0.00,￥2.80,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,晋城市绿盛农工商实业有限公司农...,￥2.00,￥2.00,￥2.00,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,重庆双福国际农贸城,￥1.50,￥2.00,￥1.75,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,山东滕州蔬菜批发市场,￥0.15,￥3.30,￥0.30,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
黄瓜,河南金牛大别山农产品现代物流中心,￥1.00,￥4.50,￥2.70,2024-03-31,http://price.cnveg.com/select/st%E9%BB%84%E7%93%9Cy2024m3d-1cta-1by-1p1.html
