品种,批发市场,最低价格,最高价格,平均价格,发布时间
白菜,北京岳各庄批发市场,￥1.00,￥1.20,￥1.10,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京岳各庄批发市场,￥1.30,￥2.00,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京岳各庄批发市场,￥1.50,￥2.50,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京顺鑫石门农产品批发市场,￥0.75,￥0.95,￥0.85,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京顺鑫石门农产品批发市场,￥1.00,￥1.60,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京顺鑫石门农产品批发市场,￥1.00,￥1.50,￥1.25,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京大洋路农副产品批发市场,￥0.60,￥0.80,￥0.70,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京大洋路农副产品批发市场,￥1.30,￥1.50,￥1.40,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,北京大洋路农副产品批发市场,￥1.20,￥1.50,￥1.20,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津何庄子鲜活农产品中心批发市场,￥0.70,￥0.80,￥0.70,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津何庄子鲜活农产品中心批发市场,￥1.20,￥1.40,￥1.20,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津何庄子鲜活农产品中心批发市场,￥1.30,￥1.30,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津武清大沙河批发市场,￥0.50,￥0.80,￥0.65,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津武清大沙河批发市场,￥1.00,￥1.50,￥1.25,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津武清大沙河批发市场,￥0.80,￥1.00,￥0.90,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津市金钟蔬菜批发市场,￥0.60,￥0.80,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津市金钟蔬菜批发市场,￥1.00,￥2.00,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津市金钟蔬菜批发市场,￥0.80,￥1.50,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津市南开区红旗农贸综合批发市场,￥0.60,￥0.80,￥0.70,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津市南开区红旗农贸综合批发市场,￥0.80,￥1.30,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津西青当城无公害农副产品批发...,￥0.90,￥0.90,￥0.90,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津西青当城无公害农副产品批发...,￥0.90,￥1.50,￥1.20,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津西青当城无公害农副产品批发...,￥0.60,￥0.80,￥0.70,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津韩家墅农产品批发市场,￥0.80,￥0.90,￥0.85,2024-04-27,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
白菜,天津韩家墅农产品批发市场,￥1.10,￥1.40,￥1.25,2024-04-27大,http://price.cnveg.com/select/st%E7%99%BD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
