品种,批发市场,最低价格,最高价格,平均价格,发布时间
芹菜,北京岳各庄批发市场,￥1.80,￥2.30,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,北京顺鑫石门农产品批发市场,￥1.75,￥1.95,￥1.85,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,北京大洋路农副产品批发市场,￥1.50,￥2.00,￥1.80,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,天津何庄子鲜活农产品中心批发市场,￥1.80,￥2.00,￥1.80,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,天津武清大沙河批发市场,￥1.50,￥1.80,￥1.65,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,天津市金钟蔬菜批发市场,￥1.50,￥2.50,￥2.20,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,天津市南开区红旗农贸综合批发市场,￥1.30,￥1.80,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,天津西青当城无公害农副产品批发...,￥1.60,￥2.00,￥1.80,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,天津韩家墅农产品批发市场,￥2.00,￥2.30,￥2.15,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,石家庄国际农产品批发交易中心,￥1.90,￥2.00,￥1.95,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,河北乐亭冀东果菜批发市场,￥1.30,￥2.10,￥1.65,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,河北唐山市荷花坑市场,￥1.50,￥2.00,￥1.75,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,河北魏县天仙果菜批发交易市场,￥1.25,￥1.75,￥1.40,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,河北怀来县京西果菜批发市场,￥2.00,￥0.00,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,张北县坝上蔬菜产业有限公司,￥2.10,￥2.30,￥2.20,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥2.60,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,山西省太原市河西农产品有限公司,￥2.00,￥2.20,￥2.10,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,山西太原丈子头农产品物流园（原...,￥1.70,￥2.10,￥1.90,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,山西长治市紫坊农产品综合交易市场,￥1.70,￥2.00,￥1.85,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,山西晋城绿欣农产品批发市场,￥2.70,￥2.80,￥2.75,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,晋城市绿盛农工商实业有限公司农...,￥0.80,￥0.80,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,山西临汾尧丰农副产品批发市场,￥0.00,￥0.00,￥2.20,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,孝义市蔬菜批发交易市场,￥0.00,￥0.00,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
芹菜,山西汾阳市晋阳农副产品批发市场,￥0.00,￥0.00,￥1.60,2024-04-27,http://price.cnveg.com/select/st%E8%8A%B9%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
