品种,批发市场,最低价格,最高价格,平均价格,发布时间
葱头,北京岳各庄批发市场,￥1.50,￥2.00,￥1.60,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,北京顺鑫石门农产品批发市场,￥1.30,￥1.50,￥1.40,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,北京大洋路农副产品批发市场,￥1.30,￥1.40,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,天津何庄子鲜活农产品中心批发市场,￥1.40,￥2.10,￥1.40,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,天津武清大沙河批发市场,￥1.00,￥1.50,￥1.25,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,天津市金钟蔬菜批发市场,￥1.00,￥1.50,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,天津市南开区红旗农贸综合批发市场,￥0.70,￥1.30,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,天津西青当城无公害农副产品批发...,￥1.20,￥1.70,￥1.45,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,天津韩家墅农产品批发市场,￥1.40,￥2.10,￥1.75,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,石家庄国际农产品批发交易中心,￥1.00,￥1.70,￥1.35,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,河北乐亭冀东果菜批发市场,￥1.30,￥1.70,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,河北唐山市荷花坑市场,￥1.30,￥1.70,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,河北魏县天仙果菜批发交易市场,￥0.75,￥1.00,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,河北怀来县京西果菜批发市场,￥1.20,￥0.00,￥1.20,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西省太原市河西农产品有限公司,￥1.00,￥1.60,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西太原丈子头农产品物流园（原...,￥1.10,￥1.25,￥1.15,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西长治市紫坊农产品综合交易市场,￥1.60,￥1.80,￥1.70,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西晋城绿欣农产品批发市场,￥1.30,￥1.40,￥1.35,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,晋城市绿盛农工商实业有限公司农...,￥1.50,￥1.50,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西运城市蔬菜批发市场,￥1.40,￥1.80,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西临汾尧丰农副产品批发市场,￥0.00,￥0.00,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,孝义市蔬菜批发交易市场,￥0.00,￥0.00,￥1.70,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
葱头,山西汾阳市晋阳农副产品批发市场,￥0.00,￥0.00,￥1.40,2024-04-27,http://price.cnveg.com/select/st%E8%91%B1%E5%A4%B4y2024m4d-1cta-1by-1p1.html
