品种,批发市场,最低价格,最高价格,平均价格,发布时间
韭菜,北京岳各庄批发市场,￥1.50,￥2.10,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,北京顺鑫石门农产品批发市场,￥0.80,￥1.00,￥0.90,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,北京大洋路农副产品批发市场,￥1.30,￥1.50,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,天津何庄子鲜活农产品中心批发市场,￥1.00,￥1.30,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,天津武清大沙河批发市场,￥0.50,￥1.00,￥0.75,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,天津市金钟蔬菜批发市场,￥0.80,￥2.00,￥0.90,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,天津市南开区红旗农贸综合批发市场,￥0.80,￥1.30,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,天津西青当城无公害农副产品批发...,￥0.70,￥1.00,￥0.85,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,天津韩家墅农产品批发市场,￥0.80,￥1.00,￥0.90,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,石家庄国际农产品批发交易中心,￥0.40,￥1.20,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,河北乐亭冀东果菜批发市场,￥1.25,￥2.00,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,河北魏县天仙果菜批发交易市场,￥0.90,￥1.00,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,河北怀来县京西果菜批发市场,￥2.00,￥0.00,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,张北县坝上蔬菜产业有限公司,￥0.80,￥1.00,￥0.90,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥2.25,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西省太原市河西农产品有限公司,￥1.00,￥1.50,￥1.25,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西太原丈子头农产品物流园（原...,￥1.60,￥2.00,￥1.80,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西长治市紫坊农产品综合交易市场,￥1.00,￥1.30,￥1.15,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西晋城绿欣农产品批发市场,￥1.60,￥1.70,￥1.65,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,晋城市绿盛农工商实业有限公司农...,￥1.50,￥1.50,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西运城市蔬菜批发市场,￥0.60,￥1.00,￥0.70,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西临汾尧丰农副产品批发市场,￥0.00,￥0.00,￥0.90,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,山西汾阳市晋阳农副产品批发市场,￥0.00,￥0.00,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
韭菜,内蒙古呼和浩特市东瓦窑农副产品...,￥1.20,￥2.50,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E9%9F%AD%E8%8F%9Cy2024m4d-1cta-1by-1p1.html
